iter	Passed	Remaining
909	1497	148
910	1498	146
911	1499	144
912	1500	142
913	1501	141
914	1504	139
915	1505	138
916	1506	136
917	1507	134
918	1508	132
919	1509	131
920	1510	129
921	1511	127
922	1512	126
923	1513	124
924	1515	122
925	1517	121
926	1518	119
927	1518	117
928	1519	116
929	1521	114
930	1522	112
931	1523	111
932	1524	109
933	1525	107
934	1526	106
935	1528	104
936	1530	102
937	1531	101
938	1532	99
939	1534	97
940	1535	96
941	1536	94
942	1537	92
943	1539	91
944	1541	89
945	1542	88
946	1543	86
947	1544	84
948	1546	83
949	1548	81
950	1551	79
951	1552	78
952	1553	76
953	1554	74
954	1556	73
955	1558	71
956	1562	70
957	1563	68
958	1563	66
959	1565	65
960	1566	63
961	1567	61
962	1569	60
963	1571	58
964	1572	57
965	1573	55
966	1574	53
967	1576	52
968	1577	50
969	1580	48
970	1582	47
971	1583	45
972	1585	43
973	1586	42
974	1587	40
975	1588	39
976	1589	37
977	1591	35
978	1593	34
979	1594	32
980	1596	30
981	1597	29
982	1598	27
983	1599	26
984	1600	24
985	1601	22
986	1602	21
987	1604	19
988	1605	17
989	1607	16
990	1610	14
991	1611	12
992	1612	11
993	1613	9
994	1614	8
995	1615	6
996	1621	4
997	1623	3
998	1625	1
999	1626	0
